idx_epi : 0
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220522_223755,U,"(9, 4)","(8, 4)",85,76,0,False,ID_GENERAL_MOVE
220522_223755,D,"(9, 4)","(9, 4)",76,85,-10,True,ID_RETURN

idx_epi : 1
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220522_223755,U,"(9, 4)","(8, 4)",85,76,0,False,ID_GENERAL_MOVE
220522_223755,R,"(9, 4)","(8, 5)",76,77,0,False,ID_GENERAL_MOVE
220522_223755,D,"(9, 4)","(9, 5)",77,86,-10,True,ID_OBSTACLE

idx_epi : 2
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220522_223755,U,"(9, 4)","(8, 4)",85,76,0,False,ID_GENERAL_MOVE
220522_223755,D,"(9, 4)","(9, 4)",76,85,-10,True,ID_RETURN

idx_epi : 3
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220522_223755,U,"(9, 4)","(8, 4)",85,76,0,False,ID_GENERAL_MOVE
220522_223755,L,"(9, 4)","(8, 3)",76,75,0,False,ID_GENERAL_MOVE
220522_223755,R,"(9, 4)","(8, 4)",75,76,0,False,ID_GENERAL_MOVE
220522_223755,U,"(9, 4)","(7, 4)",76,67,0,False,ID_GENERAL_MOVE
220522_223755,L,"(9, 4)","(7, 3)",67,66,0,False,ID_GENERAL_MOVE
220522_223755,U,"(9, 4)","(6, 3)",66,57,0,False,ID_GENERAL_MOVE
220522_223755,R,"(9, 4)","(6, 4)",57,58,-10,True,ID_OBSTACLE

idx_epi : 4
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220522_223755,U,"(9, 4)","(8, 4)",85,76,0,False,ID_GENERAL_MOVE
220522_223755,D,"(9, 4)","(9, 4)",76,85,-10,True,ID_RETURN

idx_epi : 5
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220522_223755,U,"(9, 4)","(8, 4)",85,76,0,False,ID_GENERAL_MOVE
220522_223755,U,"(9, 4)","(7, 4)",76,67,0,False,ID_GENERAL_MOVE
220522_223755,U,"(9, 4)","(6, 4)",67,58,-10,True,ID_OBSTACLE

idx_epi : 6
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220522_223755,U,"(9, 4)","(8, 4)",85,76,0,False,ID_GENERAL_MOVE
220522_223755,L,"(9, 4)","(8, 3)",76,75,0,False,ID_GENERAL_MOVE
220522_223755,U,"(9, 4)","(7, 3)",75,66,0,False,ID_GENERAL_MOVE
220522_223755,D,"(9, 4)","(8, 3)",66,75,0,False,ID_GENERAL_MOVE
220522_223755,U,"(9, 4)","(7, 3)",75,66,0,False,ID_GENERAL_MOVE
220522_223755,U,"(9, 4)","(6, 3)",66,57,0,False,ID_GENERAL_MOVE
220522_223755,R,"(9, 4)","(6, 4)",57,58,-10,True,ID_OBSTACLE

idx_epi : 7
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220522_223755,U,"(9, 4)","(8, 4)",85,76,0,False,ID_GENERAL_MOVE
220522_223755,R,"(9, 4)","(8, 5)",76,77,0,False,ID_GENERAL_MOVE
220522_223755,L,"(9, 4)","(8, 4)",77,76,0,False,ID_GENERAL_MOVE
220522_223755,U,"(9, 4)","(7, 4)",76,67,0,False,ID_GENERAL_MOVE
220522_223755,R,"(9, 4)","(7, 5)",67,68,0,False,ID_GENERAL_MOVE
220522_223755,L,"(9, 4)","(7, 4)",68,67,0,False,ID_GENERAL_MOVE
220522_223755,L,"(9, 4)","(7, 3)",67,66,0,False,ID_GENERAL_MOVE
220522_223755,L,"(9, 4)","(7, 2)",66,65,0,False,ID_GENERAL_MOVE
220522_223755,R,"(9, 4)","(7, 3)",65,66,0,False,ID_GENERAL_MOVE
220522_223755,D,"(9, 4)","(8, 3)",66,75,0,False,ID_GENERAL_MOVE
220522_223755,R,"(9, 4)","(8, 4)",75,76,0,False,ID_GENERAL_MOVE
220522_223755,U,"(9, 4)","(7, 4)",76,67,0,False,ID_GENERAL_MOVE
220522_223755,L,"(9, 4)","(7, 3)",67,66,0,False,ID_GENERAL_MOVE
220522_223755,L,"(9, 4)","(7, 2)",66,65,0,False,ID_GENERAL_MOVE
220522_223755,D,"(9, 4)","(8, 2)",65,74,0,False,ID_GENERAL_MOVE
220522_223755,R,"(9, 4)","(8, 3)",74,75,0,False,ID_GENERAL_MOVE
220522_223755,U,"(9, 4)","(7, 3)",75,66,0,False,ID_GENERAL_MOVE
220522_223755,D,"(9, 4)","(8, 3)",66,75,0,False,ID_GENERAL_MOVE
220522_223755,U,"(9, 4)","(7, 3)",75,66,0,False,ID_GENERAL_MOVE
220522_223755,R,"(9, 4)","(7, 4)",66,67,0,False,ID_GENERAL_MOVE
220522_223755,R,"(9, 4)","(7, 5)",67,68,0,False,ID_GENERAL_MOVE
220522_223755,D,"(9, 4)","(8, 5)",68,77,0,False,ID_GENERAL_MOVE
220522_223755,L,"(9, 4)","(8, 4)",77,76,0,False,ID_GENERAL_MOVE
220522_223755,U,"(9, 4)","(7, 4)",76,67,0,False,ID_GENERAL_MOVE
220522_223755,U,"(9, 4)","(6, 4)",67,58,-10,True,ID_OBSTACLE

idx_epi : 8
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220522_223755,U,"(9, 4)","(8, 4)",85,76,0,False,ID_GENERAL_MOVE
220522_223755,L,"(9, 4)","(8, 3)",76,75,0,False,ID_GENERAL_MOVE
220522_223755,L,"(9, 4)","(8, 2)",75,74,0,False,ID_GENERAL_MOVE
220522_223755,D,"(9, 4)","(9, 2)",74,83,-10,True,ID_OBSTACLE

idx_epi : 9
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220522_223755,U,"(9, 4)","(8, 4)",85,76,0,False,ID_GENERAL_MOVE
220522_223755,L,"(9, 4)","(8, 3)",76,75,0,False,ID_GENERAL_MOVE
220522_223755,R,"(9, 4)","(8, 4)",75,76,0,False,ID_GENERAL_MOVE
220522_223755,R,"(9, 4)","(8, 5)",76,77,0,False,ID_GENERAL_MOVE
220522_223755,R,"(9, 4)","(8, 6)",77,78,0,False,ID_GENERAL_MOVE
220522_223755,L,"(9, 4)","(8, 5)",78,77,0,False,ID_GENERAL_MOVE
220522_223755,U,"(9, 4)","(7, 5)",77,68,0,False,ID_GENERAL_MOVE
220522_223755,D,"(9, 4)","(8, 5)",68,77,0,False,ID_GENERAL_MOVE
220522_223755,R,"(9, 4)","(8, 6)",77,78,0,False,ID_GENERAL_MOVE
220522_223755,R,"(9, 4)","(8, 7)",78,79,0,False,ID_GENERAL_MOVE
220522_223755,L,"(9, 4)","(8, 6)",79,78,0,False,ID_GENERAL_MOVE
220522_223755,U,"(9, 4)","(7, 6)",78,69,0,False,ID_GENERAL_MOVE
220522_223755,L,"(9, 4)","(7, 5)",69,68,0,False,ID_GENERAL_MOVE
220522_223755,U,"(9, 4)","(6, 5)",68,59,0,False,ID_GENERAL_MOVE
220522_223755,L,"(9, 4)","(6, 4)",59,58,-10,True,ID_OBSTACLE

idx_epi : 10
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220522_223755,U,"(9, 4)","(8, 4)",85,76,0,False,ID_GENERAL_MOVE
220522_223755,D,"(9, 4)","(9, 4)",76,85,-10,True,ID_RETURN

idx_epi : 11
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220522_223755,U,"(9, 4)","(8, 4)",85,76,0,False,ID_GENERAL_MOVE
220522_223755,U,"(9, 4)","(7, 4)",76,67,0,False,ID_GENERAL_MOVE
220522_223755,D,"(9, 4)","(8, 4)",67,76,0,False,ID_GENERAL_MOVE
220522_223755,R,"(9, 4)","(8, 5)",76,77,0,False,ID_GENERAL_MOVE
220522_223755,D,"(9, 4)","(9, 5)",77,86,-10,True,ID_OBSTACLE

idx_epi : 12
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220522_223755,U,"(9, 4)","(8, 4)",85,76,0,False,ID_GENERAL_MOVE
220522_223755,D,"(9, 4)","(9, 4)",76,85,-10,True,ID_RETURN

idx_epi : 13
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220522_223755,U,"(9, 4)","(8, 4)",85,76,0,False,ID_GENERAL_MOVE
220522_223755,D,"(9, 4)","(9, 4)",76,85,-10,True,ID_RETURN

idx_epi : 14
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220522_223755,U,"(9, 4)","(8, 4)",85,76,0,False,ID_GENERAL_MOVE
220522_223755,D,"(9, 4)","(9, 4)",76,85,-10,True,ID_RETURN

idx_epi : 15
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220522_223755,U,"(9, 4)","(8, 4)",85,76,0,False,ID_GENERAL_MOVE
220522_223755,L,"(9, 4)","(8, 3)",76,75,0,False,ID_GENERAL_MOVE
220522_223755,L,"(9, 4)","(8, 2)",75,74,0,False,ID_GENERAL_MOVE
220522_223755,U,"(9, 4)","(7, 2)",74,65,0,False,ID_GENERAL_MOVE
220522_223755,D,"(9, 4)","(8, 2)",65,74,0,False,ID_GENERAL_MOVE
220522_223755,R,"(9, 4)","(8, 3)",74,75,0,False,ID_GENERAL_MOVE
220522_223755,D,"(9, 4)","(9, 3)",75,84,-10,True,ID_OBSTACLE

idx_epi : 16
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220522_223755,U,"(9, 4)","(8, 4)",85,76,0,False,ID_GENERAL_MOVE
220522_223755,U,"(9, 4)","(7, 4)",76,67,0,False,ID_GENERAL_MOVE
220522_223755,R,"(9, 4)","(7, 5)",67,68,0,False,ID_GENERAL_MOVE
220522_223755,L,"(9, 4)","(7, 4)",68,67,0,False,ID_GENERAL_MOVE
220522_223755,R,"(9, 4)","(7, 5)",67,68,0,False,ID_GENERAL_MOVE
220522_223755,R,"(9, 4)","(7, 6)",68,69,0,False,ID_GENERAL_MOVE
220522_223755,U,"(9, 4)","(6, 6)",69,60,-10,True,ID_OBSTACLE

idx_epi : 17
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220522_223755,U,"(9, 4)","(8, 4)",85,76,0,False,ID_GENERAL_MOVE
220522_223755,U,"(9, 4)","(7, 4)",76,67,0,False,ID_GENERAL_MOVE
220522_223755,U,"(9, 4)","(6, 4)",67,58,-10,True,ID_OBSTACLE

idx_epi : 18
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220522_223755,U,"(9, 4)","(8, 4)",85,76,0,False,ID_GENERAL_MOVE
220522_223755,R,"(9, 4)","(8, 5)",76,77,0,False,ID_GENERAL_MOVE
220522_223755,R,"(9, 4)","(8, 6)",77,78,0,False,ID_GENERAL_MOVE
220522_223755,U,"(9, 4)","(7, 6)",78,69,0,False,ID_GENERAL_MOVE
220522_223755,L,"(9, 4)","(7, 5)",69,68,0,False,ID_GENERAL_MOVE
220522_223755,U,"(9, 4)","(6, 5)",68,59,0,False,ID_GENERAL_MOVE
220522_223755,L,"(9, 4)","(6, 4)",59,58,-10,True,ID_OBSTACLE

idx_epi : 19
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220522_223755,U,"(9, 4)","(8, 4)",85,76,0,False,ID_GENERAL_MOVE
220522_223755,U,"(9, 4)","(7, 4)",76,67,0,False,ID_GENERAL_MOVE
220522_223755,D,"(9, 4)","(8, 4)",67,76,0,False,ID_GENERAL_MOVE
220522_223755,D,"(9, 4)","(9, 4)",76,85,-10,True,ID_RETURN

idx_epi : 20
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220522_223755,U,"(9, 4)","(8, 4)",85,76,0,False,ID_GENERAL_MOVE
220522_223755,L,"(9, 4)","(8, 3)",76,75,0,False,ID_GENERAL_MOVE
220522_223755,R,"(9, 4)","(8, 4)",75,76,0,False,ID_GENERAL_MOVE
220522_223755,D,"(9, 4)","(9, 4)",76,85,-10,True,ID_RETURN

idx_epi : 21
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220522_223755,U,"(9, 4)","(8, 4)",85,76,0,False,ID_GENERAL_MOVE
220522_223755,R,"(9, 4)","(8, 5)",76,77,0,False,ID_GENERAL_MOVE
220522_223755,U,"(9, 4)","(7, 5)",77,68,0,False,ID_GENERAL_MOVE
220522_223755,U,"(9, 4)","(6, 5)",68,59,0,False,ID_GENERAL_MOVE
220522_223755,U,"(9, 4)","(5, 5)",59,50,0,False,ID_GENERAL_MOVE
220522_223755,D,"(9, 4)","(6, 5)",50,59,0,False,ID_GENERAL_MOVE
220522_223755,R,"(9, 4)","(6, 6)",59,60,-10,True,ID_OBSTACLE

idx_epi : 22
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220522_223755,U,"(9, 4)","(8, 4)",85,76,0,False,ID_GENERAL_MOVE
220522_223755,D,"(9, 4)","(9, 4)",76,85,-10,True,ID_RETURN

idx_epi : 23
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
